query_id,category_l1,category_l2,query_type,Query_EN,Query_IT,Query_DE
qffdd87b50,Apparel & Accessories,backpack,branded,buy Osprey Atmos AG 65,acquista Osprey Atmos AG 65,Osprey Atmos AG 65 kaufen
qd9f19404f,Apparel & Accessories,fitness tracker,branded,Fitbit Charge 6 price,Fitbit Charge 6 prezzo,Fitbit Charge 6 preis
qa049970a5,Apparel & Accessories,football boots,branded,buy Nike Mercurial Superfly 10,acquista Nike Mercurial Superfly 10,Nike Mercurial Superfly 10 kaufen
q6acc83067,Apparel & Accessories,hiking boots,branded,Scarpa Zodiac Plus GTX review,Scarpa Zodiac Plus GTX recensione,Scarpa Zodiac Plus GTX test
q0afb37de7,Apparel & Accessories,running shoes,branded,New Balance FuelCell SuperComp Elite v4,New Balance FuelCell SuperComp Elite v4,New Balance FuelCell SuperComp Elite v4
qc3d6c9edf,Apparel & Accessories,running shoes,branded,New Balance Fresh Foam 1080 price,New Balance Fresh Foam 1080 prezzo,New Balance Fresh Foam 1080 preis
q2823e1911,Apparel & Accessories,running shoes,branded,Hoka Speedgoat 5,Hoka Speedgoat 5,Hoka Speedgoat 5
qb4373f16b,Apparel & Accessories,running shoes,branded,buy ASICS Gel-Nimbus 26,acquista ASICS Gel-Nimbus 26,ASICS Gel-Nimbus 26 kaufen
q1fa441cc4,Apparel & Accessories,running shoes,branded,buy Hoka Bondi 8,acquista Hoka Bondi 8,Hoka Bondi 8 kaufen
qa9ab15f59,Apparel & Accessories,running shoes,branded,Adidas Ultraboost 22,Adidas Ultraboost 22,Adidas Ultraboost 22
qf33297291,Apparel & Accessories,running shoes,branded,buy Nike Air Force 1,acquista Nike Air Force 1,Nike Air Force 1 kaufen
q42d72026f,Apparel & Accessories,running shoes,branded,Adidas Samba OG,Adidas Samba OG,Adidas Samba OG
qe87e0f81b,Apparel & Accessories,running shoes,branded,Brooks Ghost 16,Brooks Ghost 16,Brooks Ghost 16
q77accd453,Apparel & Accessories,running shoes,branded,Adidas Gazelle review,Adidas Gazelle recensione,Adidas Gazelle test
q7a022159a,Apparel & Accessories,running shoes,branded,Saucony Endorphin Speed 4 price,Saucony Endorphin Speed 4 prezzo,Saucony Endorphin Speed 4 preis
qc5c39e829,Apparel & Accessories,smartwatch,branded,buy Garmin Epix Gen 2,acquista Garmin Epix Gen 2,Garmin Epix Gen 2 kaufen
q39482c1d0,Apparel & Accessories,smartwatch,branded,Samsung Galaxy Watch 6 offers,Samsung Galaxy Watch 6 offerte,Samsung Galaxy Watch 6 angebote
qe8232d611,Apparel & Accessories,sneakers,branded,buy Nike Dunk Low,acquista Nike Dunk Low,Nike Dunk Low kaufen
qf09350e41,Apparel & Accessories,sneakers,branded,Adidas Yeezy 350 V2,Adidas Yeezy 350 V2,Adidas Yeezy 350 V2
q39c796486,Apparel & Accessories,sunglasses,branded,Ray-Ban Wayfarer offers,Ray-Ban Wayfarer offerte,Ray-Ban Wayfarer angebote
