query_id,category_l1,category_l2,query_type,Query_EN,Query_IT,Query_DE
qf18089a28,Electronics,ultrabook,generic,ultrabook amazon,ultrabook amazon,Ultrabook amazon
q6e27d06e7,Home & Garden,standing desk,generic,standing desk professional,scrivania regolabile professionale,professioneller Höhenverstellbarer Schreibtisch
q0b59e5f48,Sporting Goods,mountain bike,generic,cheap mountain bike,mountain bike economici,günstiger Mountainbike
q8b23acabe,Electronics,screen protector,generic,top screen protector,top protezione schermo,top Displayschutzfolie
qb0f96e101,Home & Garden,coffee machine,generic,coffee machine sale,macchina del caffè saldi,Kaffeemaschine sale
q3a48bb93c,Electronics,wireless headphones,generic,wireless headphones professional,cuffie wireless professionale,professioneller Kabellose Kopfhörer
qd8058f631,Sporting Goods,heart rate monitor,generic,heart rate monitor online,cardiofrequenzimetro online,Herzfrequenzmesser online
q4832de3e6,Sporting Goods,dumbbell set,generic,dumbbell set offers,offerte set manubri,Hantelset angebote
q6664cfd85,Sporting Goods,heart rate monitor,generic,best heart rate monitor,migliori cardiofrequenzimetro,bestes Herzfrequenzmesser
q41a104592,Sporting Goods,treadmill,generic,treadmill,tapis roulant,Laufband
qd923d944b,Electronics,gaming console,generic,buy gaming console,acquista console di gioco,Spielkonsole kaufen
qf68f3c051,Baby & Kids,baby stroller,generic,baby stroller under 500,passeggino sotto 500 euro,Kinderwagen unter 500 euro
qfbfe1d46b,Apparel & Accessories,rain jacket,generic,compare rain jacket,confronta giacca impermeabile,Regenjacke vergleich
q163057210,Apparel & Accessories,sneakers,generic,sneakers sale,sneakers saldi,Sneaker sale
q6ae425248,Sporting Goods,e-bike,generic,e-bike rating,valutazione bici elettrica,E-Bike bewertung
q4ce75a5e0,Sporting Goods,road bike,branded,Specialized Allez,Specialized Allez,Specialized Allez
qcca0be8ea,Sporting Goods,exercise bike,generic,top exercise bike,top cyclette,top Heimtrainer
qc5a640480,Electronics,gaming laptop,generic,gaming laptop under 500,laptop da gaming sotto 500 euro,Gaming-Laptop unter 500 euro
qa9ea418d4,Electronics,action camera,generic,action camera offers,offerte action camera,Action-Kamera angebote
q991dcebb7,Beauty & Personal Care,face moisturiser,generic,face moisturiser under 100,crema idratante viso sotto 100 euro,Gesichtscreme unter 100 euro
q984947857,Electronics,laptop stand,generic,laptop stand 2024,supporto laptop 2024,Laptop-Ständer 2024
q1a905963c,Sporting Goods,sleeping bag,generic,sleeping bag deals,sacco a pelo occasioni,Schlafsack schnäppchen
q0d0c3fde3,Sporting Goods,e-bike,generic,where to buy e-bike,dove comprare bici elettrica,wo E-Bike kaufen
qa3ddf2946,Baby & Kids,car seat,generic,car seat amazon,seggiolino auto amazon,Kindersitz amazon
q153fc8ab6,Electronics,wireless headphones,branded,Beats Studio Pro price,Beats Studio Pro prezzo,Beats Studio Pro preis
q6e2874b66,Electronics,action camera,generic,action camera under 500,action camera sotto 500 euro,Action-Kamera unter 500 euro
qfe251da9b,Beauty & Personal Care,sunscreen SPF 50,branded,Altruist SPF 50 Face Fluid,Altruist SPF 50 Face Fluid,Altruist SPF 50 Face Fluid
q20efb7974,Home & Garden,espresso machine,generic,espresso machine review,recensione macchina per espresso,Espressomaschine test
q0ddaf77fb,Electronics,gaming laptop,branded,Acer Predator Helios 300,Acer Predator Helios 300,Acer Predator Helios 300
q9946f8a66,Sporting Goods,yoga mat,generic,best yoga mat,migliori tappetino yoga,bestes Yogamatte
q7c1ac7c33,Electronics,wireless headphones,generic,wireless headphones 2024,cuffie wireless 2024,Kabellose Kopfhörer 2024
qf918b326e,Apparel & Accessories,running jacket,generic,best running jacket,migliori giacca da corsa,bestes Laufjacke
q39c8dde2d,Home & Garden,air fryer,branded,buy Philips Airfryer XXL,acquista Philips Airfryer XXL,Philips Airfryer XXL kaufen
q0bf688f0f,Sporting Goods,protein powder,branded,ON Gold Standard Whey 2kg review,ON Gold Standard Whey 2kg recensione,ON Gold Standard Whey 2kg test
qb987ba1ce,Electronics,VR headset,generic,VR headset rating,valutazione visore VR,VR-Headset bewertung
q8a7e32b66,Home & Garden,air fryer,generic,air fryer price,prezzo friggitrice ad aria,Heißluftfritteuse preis
q85aa03cd9,Home & Garden,robot vacuum cleaner,branded,Shark Matrix Robot review,Shark Matrix Robot recensione,Shark Matrix Robot test
qcf483fa0d,Electronics,soundbar,branded,Sony HT-A7000 price,Sony HT-A7000 prezzo,Sony HT-A7000 preis
q4bb788580,Electronics,power bank,branded,Anker 747 Power Bank,Anker 747 Power Bank,Anker 747 Power Bank
qf9eedba2d,Sporting Goods,dumbbell set,generic,cheap dumbbell set,set manubri economici,günstiger Hantelset
q8a2289686,Sporting Goods,e-bike,branded,Trek Powerfly 5 offers,Trek Powerfly 5 offerte,Trek Powerfly 5 angebote
qee570044f,Electronics,SSD,branded,WD Black SN850X price,WD Black SN850X prezzo,WD Black SN850X preis
q075a209b0,Home & Garden,humidifier,generic,humidifier,umidificatore,Luftbefeuchter
q4843ced09,Electronics,portable speaker,generic,portable speaker sale,altoparlante portatile saldi,Portabler Lautsprecher sale
qc373ba4bd,Sporting Goods,camping tent,generic,camping tent offers,offerte tenda da campeggio,Campingzelt angebote
q414fc5911,Apparel & Accessories,fitness tracker,branded,Fitbit Charge 6,Fitbit Charge 6,Fitbit Charge 6
qe6bafb28b,Electronics,gaming mouse,branded,Logitech G Pro X Superlight 2 review,Logitech G Pro X Superlight 2 recensione,Logitech G Pro X Superlight 2 test
qc416d8443,Apparel & Accessories,sneakers,branded,Adidas Stan Smith,Adidas Stan Smith,Adidas Stan Smith
q56f868b0a,Electronics,flagship smartphone,generic,flagship smartphone professional,smartphone top di gamma professionale,professioneller Flagship-Smartphone
q84f5c3382,Apparel & Accessories,athletic shoes,generic,athletic shoes rating,valutazione scarpe sportive,Sportschuhe bewertung
q45662d65b,Electronics,camera lens,branded,Sony FE 24-70mm f/2.8 GM II price,Sony FE 24-70mm f/2.8 GM II prezzo,Sony FE 24-70mm f/2.8 GM II preis
q5fbbf62ca,Sporting Goods,protein powder,branded,Optimum Nutrition Gold Standard Whey offers,Optimum Nutrition Gold Standard Whey offerte,Optimum Nutrition Gold Standard Whey angebote
q23388d65f,Sporting Goods,stand up paddle,generic,cheap stand up paddle,stand up paddle economici,günstiger Stand-Up-Paddle
qd1de2a55f,Electronics,power bank,generic,power bank review,recensione power bank,Powerbank test
qa2857b101,Home & Garden,smart lighting,generic,smart lighting review,recensione illuminazione smart,Smarte Beleuchtung test
q33d37ca9e,Apparel & Accessories,athletic shoes,generic,athletic shoes under 500,scarpe sportive sotto 500 euro,Sportschuhe unter 500 euro
q1a8eea486,Electronics,tripod,generic,tripod offers,offerte treppiede,Stativ angebote
q16f04e9b3,Beauty & Personal Care,vitamin C serum,generic,where to buy vitamin C serum,dove comprare siero vitamina C,wo Vitamin-C-Serum kaufen
qd1ebf27f2,Apparel & Accessories,down jacket,generic,down jacket online,piumino online,Daunenjacke online
q1ee2e6577,Apparel & Accessories,sneakers,generic,where to buy sneakers,dove comprare sneakers,wo Sneaker kaufen
qcaf4895fb,Electronics,2-in-1 laptop,generic,buy 2-in-1 laptop online,comprare laptop 2-in-1 online,2-in-1-Laptop online kaufen
qa93ce3d87,Home & Garden,air purifier,branded,Blueair Blue Pure 311i+ price,Blueair Blue Pure 311i+ prezzo,Blueair Blue Pure 311i+ preis
q85dd4f988,Electronics,earbuds,branded,OnePlus Buds 3,OnePlus Buds 3,OnePlus Buds 3
q72ac27593,Baby & Kids,toys,branded,LEGO Technic Bugatti Bolide review,LEGO Technic Bugatti Bolide recensione,LEGO Technic Bugatti Bolide test
q396dda904,Sporting Goods,protein powder,generic,protein powder sale,proteine in polvere saldi,Proteinpulver sale
qc423b769d,Home & Garden,coffee machine,generic,coffee machine rating,valutazione macchina del caffè,Kaffeemaschine bewertung
q8eae8718a,Electronics,QLED television,generic,QLED television professional,televisore QLED professionale,professioneller QLED-Fernseher
q32e54009c,Sporting Goods,football,generic,football specs,specifiche pallone da calcio,Fußball technische daten
qcfdaa88b2,Home & Garden,security camera,branded,Ring Video Doorbell 4 price,Ring Video Doorbell 4 prezzo,Ring Video Doorbell 4 preis
qd9371d320,Sporting Goods,sleeping bag,branded,Sea to Summit Spark Pro,Sea to Summit Spark Pro,Sea to Summit Spark Pro
q034ba21b4,Beauty & Personal Care,retinol cream,generic,best retinol cream,migliori crema al retinolo,bestes Retinol-Creme
q07cdf9fa1,Electronics,smartphone,generic,best smartphone,migliori smartphone,bestes Smartphone
